1	150 
2	106 
3	135 
4	66 
5	4 
6	33 
7	86 
8	162 
9	131 
10	62 
11	93 
12	105 
13	120 
14	100 
15	114 
16	114 
17	19 
18	132 
19	95 
20	3 
21	140 
22	74 
23	119 
24	151 
25	146 
26	80 
27	67 
28	127 
29	52 
30	97 
31	107 
32	49 
33	130 
34	28 
35	57 
36	128 
37	111 
38	101 
39	24 
40	131 
41	155 
42	65 
43	57 
44	53 
45	35 
46	9 
47	137 
48	31 
49	103 
50	156 
51	151 
52	41 
53	101 
54	156 
55	148 
56	126 
57	36 
58	41 
59	71 
60	67 
61	11 
62	157 
63	40 
64	31 
65	94 
66	24 
67	70 
68	109 
69	142 
70	93 
71	55 
72	61 
73	52 
74	52 
75	137 
76	42 
77	122 
78	17 
79	80 
80	34 
81	128 
82	34 
83	123 
84	129 
85	34 
86	147 
87	96 
88	55 
89	44 
90	26 
91	62 
92	106 
93	5 
94	139 
95	70 
96	33 
97	98 
98	56 
99	44 
100	112 
101	109 
102	74 
103	111 
104	21 
105	78 
106	91 
107	134 
108	81 
109	114 
110	45 
111	57 
112	41 
113	123 
114	17 
115	57 
116	72 
117	31 
118	78 
119	104 
120	149 
121	117 
122	157 
123	162 
124	110 
125	144 
126	7 
127	23 
128	66 
129	76 
130	74 
131	62 
132	12 
133	40 
134	29 
135	54 
136	78 
137	107 
138	140 
139	101 
140	102 
141	21 
142	96 
143	143 
144	37 
145	61 
146	110 
147	89 
148	38 
149	128 
150	21 
151	130 
152	129 
153	85 
154	22 
155	65 
156	92 
157	47 
158	70 
159	61 
160	95 
161	25 
162	161 
163	130 
164	148 
165	131 
166	95 
167	103 
168	136 
169	92 
170	41 
171	92 
172	67 
173	62 
174	160 
175	20 
176	96 
177	29 
178	157 
179	120 
180	82 
181	146 
182	75 
183	5 
184	29 
185	114 
186	8 
187	9 
188	27 
189	162 
190	32 
191	49 
192	81 
193	106 
194	146 
195	156 
196	137 
197	6 
198	58 
199	69 
200	15 
201	108 
202	30 
203	20 
204	144 
205	89 
206	3 
207	83 
208	143 
209	40 
210	71 
211	129 
212	2 
213	89 
214	15 
215	162 
216	56 
217	143 
218	13 
219	131 
220	151 
221	45 
222	113 
223	42 
224	118 
225	155 
226	56 
227	74 
228	44 
229	25 
230	118 
231	90 
232	91 
233	52 
234	145 
235	53 
236	141 
237	46 
238	32 
239	42 
240	83 
241	101 
242	16 
243	16 
244	36 
245	50 
246	142 
247	5 
248	68 
249	143 
250	23 
251	135 
252	21 
253	14 
254	106 
255	59 
256	34 
257	50 
258	96 
259	114 
260	87 
261	45 
262	43 
263	103 
264	148 
265	25 
266	22 
